"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",36471826,36472216,391,"*","AcH4K12_TSA_vs_Veh_peak_28",20,".",2.68662,5.36505,2.03217,"Promoter (<=1kb)",1,36471620,36508764,37145,1,"94220","ENSMUST00000153128.1",206,"ENSMUSG00000037408","Cnnm4","cyclin M4"
"chr1",36512442,36513076,635,"*","AcH4K12_TSA_vs_Veh_peak_29",38,".",3.81765,7.78682,3.85644,"Promoter (<=1kb)",1,36513097,36520435,7339,1,"94218","ENSMUST00000154225.1",-21,"ENSMUSG00000001138","Cnnm3","cyclin M3"
"chr1",36547460,36547820,361,"*","AcH4K12_TSA_vs_Veh_peak_30",29,".",3.34864,6.65593,2.98871,"Promoter (<=1kb)",1,36538094,36547445,9352,2,"109346","ENSMUST00000001172.11",-15,"ENSMUSG00000079610","Ankrd39","ankyrin repeat domain 39"
"chr1",36557716,36558173,458,"*","AcH4K12_TSA_vs_Veh_peak_31",31,".",3.00388,6.84135,3.12719,"Promoter (<=1kb)",1,36555932,36558250,2319,2,"20353","ENSMUST00000195339.2",77,"ENSMUSG00000026121","Sema4c","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C"
"chr1",36709615,36709926,312,"*","AcH4K12_TSA_vs_Veh_peak_32",41,".",3.34218,8.23727,4.19193,"Promoter (<=1kb)",1,36701763,36709678,7916,2,"226977","ENSMUST00000159448.7",0,"ENSMUSG00000037351","Actr1b","ARP1 actin-related protein 1B, centractin beta"
"chr1",37665487,37665840,354,"*","AcH4K12_TSA_vs_Veh_peak_33",16,".",3.53337,4.87116,1.66735,"Intron (ENSMUST00000162875.7/72097, intron 1 of 9)",1,37611677,37625242,13566,2,"72097","ENSMUST00000160023.5",-40245,"ENSMUSG00000026090","Cracdl","capping protein inhibiting regulator of actin like"
"chr1",37677367,37677909,543,"*","AcH4K12_TSA_vs_Veh_peak_34",16,".",3.43871,4.80485,1.62038,"Intron (ENSMUST00000162875.7/72097, intron 1 of 9)",1,37637986,37719795,81810,2,"72097","ENSMUST00000160589.1",41886,"ENSMUSG00000026090","Cracdl","capping protein inhibiting regulator of actin like"
"chr1",39478131,39478546,416,"*","AcH4K12_TSA_vs_Veh_peak_35",27,".",2.91942,6.31625,2.73937,"Promoter (<=1kb)",1,39372296,39478661,106366,2,"54610","ENSMUST00000192531.5",115,"ENSMUSG00000003134","Tbc1d8","TBC1 domain family, member 8"
"chr1",39576797,39577305,509,"*","AcH4K12_TSA_vs_Veh_peak_36",23,".",2.90974,5.84352,2.38732,"Promoter (<=1kb)",1,39565093,39577303,12211,2,"67702","ENSMUST00000195705.1",0,"ENSMUSG00000048234","Rnf149","ring finger protein 149"
"chr1",39713451,39713903,453,"*","AcH4K12_TSA_vs_Veh_peak_37",16,".",3.16837,4.82922,1.64487,"Intron (ENSMUST00000151913.2/619289, intron 2 of 14)",1,39665301,39720997,55697,2,"619289","ENSMUST00000151913.2",7094,"ENSMUSG00000057173","Rfx8","regulatory factor X 8"
"chr1",39755858,39756401,544,"*","AcH4K12_TSA_vs_Veh_peak_38",23,".",3.60389,5.77152,2.33418,"Distal Intergenic",1,39665301,39720997,55697,2,"619289","ENSMUST00000151913.2",-34861,"ENSMUSG00000057173","Rfx8","regulatory factor X 8"
"chr1",40681086,40681356,271,"*","AcH4K12_TSA_vs_Veh_peak_39",18,".",3.15605,5.1773,1.88709,"Promoter (<=1kb)",1,40681597,40727681,46085,1,"226999","ENSMUST00000192345.1",-241,"ENSMUSG00000026062","Slc9a2","solute carrier family 9 (sodium/hydrogen exchanger), member 2"
"chr1",42698507,42699021,515,"*","AcH4K12_TSA_vs_Veh_peak_40",43,".",4.36251,8.39545,4.31569,"Promoter (2-3kb)",1,42695768,42703176,7409,1,"18993","ENSMUST00000054883.3",2739,"ENSMUSG00000045515","Pou3f3","POU domain, class 3, transcription factor 3"
"chr1",42851435,42851708,274,"*","AcH4K12_TSA_vs_Veh_peak_41",14,".",2.55854,4.53726,1.42988,"Promoter (<=1kb)",1,42851285,42881931,30647,1,"69527","ENSMUST00000188174.6",150,"ENSMUSG00000060679","Mrps9","mitochondrial ribosomal protein S9"
"chr1",43827250,43827634,385,"*","AcH4K12_TSA_vs_Veh_peak_42",25,".",3.00645,6.04476,2.52994,"Promoter (<=1kb)",1,43749512,43827741,78230,2,"67883","ENSMUST00000076997.12",107,"ENSMUSG00000057363","Uxs1","UDP-glucuronate decarboxylase 1"
"chr1",46066946,46067249,304,"*","AcH4K12_TSA_vs_Veh_peak_43",13,".",2.95122,4.44829,1.37032,"Promoter (<=1kb)",1,46066853,46373546,306694,1,"227058","ENSMUST00000238212.1",93,"ENSMUSG00000041144","Dnah7b","dynein, axonemal, heavy chain 7B"
"chr1",51915220,51915946,727,"*","AcH4K12_TSA_vs_Veh_peak_44",30,".",3.63849,6.77558,3.0956,"Promoter (<=1kb)",1,51749982,51915941,165960,2,"17912","ENSMUST00000114537.8",0,"ENSMUSG00000018417","Myo1b","myosin IB"
"chr1",52231947,52232333,387,"*","AcH4K12_TSA_vs_Veh_peak_45",29,".",3.0748,6.60806,2.95836,"Promoter (<=1kb)",1,52165941,52232296,66356,2,"14660","ENSMUST00000114512.7",0,"ENSMUSG00000026103","Gls","glutaminase"
"chr1",53784498,53785126,629,"*","AcH4K12_TSA_vs_Veh_peak_46",28,".",3.22609,6.49584,2.87456,"Promoter (<=1kb)",1,53761149,53785157,24009,2,"98267","ENSMUST00000185920.1",31,"ENSMUSG00000026094","Stk17b","serine/threonine kinase 17b (apoptosis-inducing)"
"chr1",55026908,55027232,325,"*","AcH4K12_TSA_vs_Veh_peak_47",20,".",2.6544,5.4351,2.07987,"Promoter (<=1kb)",1,55015801,55027373,11573,2,"81898","ENSMUST00000189051.1",141,"ENSMUSG00000025982","Sf3b1","splicing factor 3b, subunit 1"
"chr1",55086788,55087113,326,"*","AcH4K12_TSA_vs_Veh_peak_48",20,".",3.74432,5.33204,2.00784,"Promoter (<=1kb)",1,55077835,55088024,10190,2,"15510","ENSMUST00000027123.14",911,"ENSMUSG00000025980","Hspd1","heat shock protein 1 (chaperonin)"
"chr1",55131530,55131804,275,"*","AcH4K12_TSA_vs_Veh_peak_49",23,".",2.7514,5.81087,2.35447,"Promoter (<=1kb)",1,55131326,55145383,14058,1,"19070","ENSMUST00000159743.1",204,"ENSMUSG00000025979","Mob4","MOB family member 4, phocein"
"chr1",55237387,55237667,281,"*","AcH4K12_TSA_vs_Veh_peak_50",23,".",3.19757,5.77818,2.32907,"Promoter (<=1kb)",1,55237177,55248470,11294,1,"212679","ENSMUST00000061334.9",210,"ENSMUSG00000046994","Mars2","methionine-tRNA synthetase 2 (mitochondrial)"
"chr1",55406100,55406669,570,"*","AcH4K12_TSA_vs_Veh_peak_51",41,".",3.44649,8.1166,4.10831,"Promoter (<=1kb)",1,55405921,55754285,348365,1,"227120","ENSMUST00000042986.9",179,"ENSMUSG00000038349","Plcl1","phospholipase C-like 1"
"chr1",56972688,56972969,282,"*","AcH4K12_TSA_vs_Veh_peak_52",22,".",3.17028,5.64151,2.22558,"Promoter (<=1kb)",1,56793981,56972502,178522,2,"212712","ENSMUST00000042857.13",-186,"ENSMUSG00000038331","Satb2","special AT-rich sequence binding protein 2"
"chr1",57996167,57996474,308,"*","AcH4K12_TSA_vs_Veh_peak_53",13,".",3.33851,4.46178,1.38195,"Promoter (<=1kb)",1,57995971,58025899,29929,1,"68549","ENSMUST00000027202.8",196,"ENSMUSG00000026039","Sgo2a","shugoshin 2A"
"chr1",59482332,59482955,624,"*","AcH4K12_TSA_vs_Veh_peak_54",27,".",3.33556,6.37735,2.78558,"Promoter (<=1kb)",1,59482424,59486955,4532,1,"14369","ENSMUST00000114246.3",0,"ENSMUSG00000041075","Fzd7","frizzled class receptor 7"
"chr1",59483272,59483800,529,"*","AcH4K12_TSA_vs_Veh_peak_55",42,".",3.44612,8.34567,4.27354,"Promoter (<=1kb)",1,59482424,59486955,4532,1,"14369","ENSMUST00000114246.3",848,"ENSMUSG00000041075","Fzd7","frizzled class receptor 7"
"chr1",59685063,59685342,280,"*","AcH4K12_TSA_vs_Veh_peak_56",31,".",3.43287,6.89113,3.17263,"Promoter (<=1kb)",1,59685054,59698422,13369,1,"55989","ENSMUST00000189327.6",9,"ENSMUSG00000026020","Nop58","NOP58 ribonucleoprotein"
"chr1",59764481,59764850,370,"*","AcH4K12_TSA_vs_Veh_peak_57",26,".",3.09265,6.23385,2.68801,"Promoter (1-2kb)",1,59763400,59879014,115615,1,"12168","ENSMUST00000087435.6",1081,"ENSMUSG00000067336","Bmpr2","bone morphogenetic protein receptor type 2"
"chr1",63112935,63113262,328,"*","AcH4K12_TSA_vs_Veh_peak_58",15,".",2.74302,4.76974,1.59376,"Promoter (<=1kb)",1,63062164,63114255,52092,2,"227195","ENSMUST00000153992.1",993,"ENSMUSG00000040865","Ino80d","INO80 complex subunit D"
"chr1",63446082,63446423,342,"*","AcH4K12_TSA_vs_Veh_peak_59",26,".",2.89017,6.24,2.67886,"Promoter (<=1kb)",1,63446211,63592912,146702,1,"23792","ENSMUST00000114103.7",0,"ENSMUSG00000025964","Adam23","a disintegrin and metallopeptidase domain 23"
"chr1",63995963,63996233,271,"*","AcH4K12_TSA_vs_Veh_peak_60",16,".",3.319,4.79968,1.61779,"Distal Intergenic",1,63964727,63968999,4273,1,"433315","ENSMUST00000133244.1",31236,"ENSMUSG00000044689","Gm13749","predicted gene 13749"
"chr1",64691096,64691480,385,"*","AcH4K12_TSA_vs_Veh_peak_61",32,".",3.41852,6.94337,3.2023,"Promoter (<=1kb)",1,64691183,64711453,20271,1,"227210","ENSMUST00000187638.6",0,"ENSMUSG00000070871","Ccnyl1","cyclin Y-like 1"
"chr1",64736283,64736739,457,"*","AcH4K12_TSA_vs_Veh_peak_62",33,".",3.63338,7.14327,3.36562,"Promoter (1-2kb)",1,64734469,64737749,3281,2,"14367","ENSMUST00000116133.3",1010,"ENSMUSG00000045005","Fzd5","frizzled class receptor 5"
"chr1",64737107,64737546,440,"*","AcH4K12_TSA_vs_Veh_peak_63",24,".",3.20166,5.99372,2.49854,"Promoter (<=1kb)",1,64734469,64737749,3281,2,"14367","ENSMUST00000116133.3",203,"ENSMUSG00000045005","Fzd5","frizzled class receptor 5"
"chr1",65186967,65187245,279,"*","AcH4K12_TSA_vs_Veh_peak_64",16,".",3.21442,4.81249,1.62171,"Promoter (<=1kb)",1,65186750,65274012,87263,1,"18711","ENSMUST00000097707.4",217,"ENSMUSG00000025949","Pikfyve","phosphoinositide kinase, FYVE type zinc finger containing"
"chr1",66817787,66818101,315,"*","AcH4K12_TSA_vs_Veh_peak_65",20,".",3.39617,5.43542,2.08871,"Promoter (<=1kb)",1,66735542,66817562,82021,2,"68691","ENSMUST00000113987.1",-225,"ENSMUSG00000026004","Kansl1l","KAT8 regulatory NSL complex subunit 1-like"
"chr1",67038360,67038687,328,"*","AcH4K12_TSA_vs_Veh_peak_66",13,".",2.74159,4.45703,1.37496,"Promoter (<=1kb)",1,67003375,67038834,35460,2,"14768","ENSMUST00000119559.7",147,"ENSMUSG00000026000","Lancl1","LanC (bacterial lantibiotic synthetase component C)-like 1"
"chr1",69107784,69108231,448,"*","AcH4K12_TSA_vs_Veh_peak_67",16,".",3.36535,4.81054,1.63125,"Promoter (<=1kb)",1,68032186,69108059,1075874,2,"13869","ENSMUST00000121473.7",0,"ENSMUSG00000062209","Erbb4","erb-b2 receptor tyrosine kinase 4"
"chr1",72534813,72535124,312,"*","AcH4K12_TSA_vs_Veh_peak_68",23,".",3.553,5.78102,2.34075,"Promoter (1-2kb)",1,72427112,72536930,109819,2,"381270","ENSMUST00000047786.5",1806,"ENSMUSG00000039372","Marchf4","membrane associated ring-CH-type finger 4"
"chr1",74098198,74098834,637,"*","AcH4K12_TSA_vs_Veh_peak_69",36,".",4.41223,7.58627,3.69925,"Promoter (1-2kb)",1,73997055,74096868,99814,2,"21961","ENSMUST00000188208.1",-1330,"ENSMUSG00000055322","Tns1","tensin 1"
"chr1",74392239,74392522,284,"*","AcH4K12_TSA_vs_Veh_peak_70",12,".",2.41703,4.31331,1.2766,"Promoter (<=1kb)",1,74392162,74394069,1908,1,"227292","ENSMUST00000152659.1",77,"ENSMUSG00000026176","Ctdsp1","CTD small phosphatase 1"
"chr1",74855456,74855899,444,"*","AcH4K12_TSA_vs_Veh_peak_71",14,".",2.54688,4.62271,1.49477,"Promoter (<=1kb)",1,74854934,74857732,2799,1,"12570","ENSMUST00000160379.3",522,"ENSMUSG00000090071","Cdk5r2","cyclin dependent kinase 5, regulatory subunit 2"
"chr1",74882051,74882424,374,"*","AcH4K12_TSA_vs_Veh_peak_72",31,".",3.75533,6.84808,3.14447,"Promoter (2-3kb)",1,74882407,74884608,2202,2,"260298","ENSMUST00000162938.1",2184,"ENSMUSG00000055197","Fev","FEV transcription factor, ETS family member"
"chr1",75179593,75180224,632,"*","AcH4K12_TSA_vs_Veh_peak_73",20,".",2.7683,5.4027,2.05642,"Promoter (<=1kb)",1,75171719,75180286,8568,2,"74104","ENSMUST00000160081.7",62,"ENSMUSG00000026198","Abcb6","ATP-binding cassette, sub-family B member 6"
"chr1",75211039,75211488,450,"*","AcH4K12_TSA_vs_Veh_peak_74",21,".",2.90484,5.54698,2.16675,"Promoter (<=1kb)",1,75211054,75213228,2175,1,"20872","ENSMUST00000189698.6",0,"ENSMUSG00000026201","Stk16","serine/threonine kinase 16"
"chr1",75360505,75360850,346,"*","AcH4K12_TSA_vs_Veh_peak_75",33,".",4.36443,7.08923,3.32307,"Promoter (<=1kb)",1,75360329,75368579,8251,1,"13346","ENSMUST00000027409.9",176,"ENSMUSG00000026208","Des","desmin"
"chr1",75387581,75388072,492,"*","AcH4K12_TSA_vs_Veh_peak_76",17,".",2.75162,4.93372,1.71454,"Promoter (1-2kb)",1,75385610,75432304,46695,1,"11790","ENSMUST00000137868.7",1971,"ENSMUSG00000026207","Speg","SPEG complex locus"
"chr1",77515794,77516096,303,"*","AcH4K12_TSA_vs_Veh_peak_77",27,".",3.53433,6.25412,2.70396,"Promoter (<=1kb)",1,77373139,77515088,141950,2,"13838","ENSMUST00000188797.6",-706,"ENSMUSG00000026235","Epha4","Eph receptor A4"
"chr1",78310150,78310483,334,"*","AcH4K12_TSA_vs_Veh_peak_78",10,".",2.68644,4.04752,1.08813,"Promoter (<=1kb)",1,78310345,78420289,109945,1,"433323","ENSMUST00000036172.9",0,"ENSMUSG00000032908","Sgpp2","sphingosine-1-phosphate phosphatase 2"
"chr1",78488370,78488689,320,"*","AcH4K12_TSA_vs_Veh_peak_79",16,".",2.78603,4.90612,1.69761,"Promoter (<=1kb)",1,78471186,78488795,17610,2,"23874","ENSMUST00000189931.6",106,"ENSMUSG00000026245","Farsb","phenylalanyl-tRNA synthetase, beta subunit"
"chr1",78658071,78658350,280,"*","AcH4K12_TSA_vs_Veh_peak_80",24,".",2.70382,5.97938,2.48712,"Promoter (<=1kb)",1,78658038,78671512,13475,1,"195434","ENSMUST00000053760.11",33,"ENSMUSG00000079470","Utp14b","UTP14B small subunit processome component"
"chr1",82289770,82290033,264,"*","AcH4K12_TSA_vs_Veh_peak_81",14,".",2.71327,4.63598,1.49491,"Promoter (1-2kb)",1,82233101,82291416,58316,2,"16367","ENSMUST00000069799.2",1383,"ENSMUSG00000055980","Irs1","insulin receptor substrate 1"
"chr1",84284133,84284399,267,"*","AcH4K12_TSA_vs_Veh_peak_82",14,".",3.14066,4.59012,1.47301,"Promoter (<=1kb)",1,84080579,84284423,203845,2,"98496","ENSMUST00000176720.1",24,"ENSMUSG00000045658","Pid1","phosphotyrosine interaction domain containing 1"
"chr1",84696035,84696413,379,"*","AcH4K12_TSA_vs_Veh_peak_83",15,".",3.36659,4.68984,1.53838,"Promoter (<=1kb)",1,84369839,84696221,326383,2,"227325","ENSMUST00000049126.12",0,"ENSMUSG00000036766","Dner","delta/notch-like EGF repeat containing"
"chr1",84840048,84840345,298,"*","AcH4K12_TSA_vs_Veh_peak_84",21,".",2.9044,5.53542,2.15838,"Promoter (<=1kb)",1,84793987,84840266,46280,2,"14897","ENSMUST00000190067.6",0,"ENSMUSG00000026219","Trip12","thyroid hormone receptor interactor 12"
"chr1",84934589,84935065,477,"*","AcH4K12_TSA_vs_Veh_peak_85",20,".",2.89937,5.40729,2.05993,"Promoter (<=1kb)",1,84929334,84934857,5524,2,"71781","ENSMUST00000186980.1",0,"ENSMUSG00000026220","Slc16a14","solute carrier family 16 (monocarboxylic acid transporters), member 14"
"chr1",86046473,86046789,317,"*","AcH4K12_TSA_vs_Veh_peak_86",24,".",3.00804,5.88011,2.40852,"Promoter (<=1kb)",1,86045863,86055456,9594,1,"72792","ENSMUST00000165824.2",610,"ENSMUSG00000026227","2810459M11Rik","RIKEN cDNA 2810459M11 gene"
"chr1",86527546,86527825,280,"*","AcH4K12_TSA_vs_Veh_peak_87",21,".",2.81423,5.4928,2.12386,"Promoter (<=1kb)",1,86526807,86530209,3403,1,"19231","ENSMUST00000188533.1",739,"ENSMUSG00000026238","Ptma","prothymosin alpha"
"chr1",87154362,87154714,353,"*","AcH4K12_TSA_vs_Veh_peak_88",16,".",3.25056,4.87241,1.66919,"Promoter (<=1kb)",1,87147658,87155027,7370,2,"13599","ENSMUST00000027463.10",313,"ENSMUSG00000026247","Ecel1","endothelin converting enzyme-like 1"
"chr1",87475152,87475534,383,"*","AcH4K12_TSA_vs_Veh_peak_89",23,".",3.18599,5.78417,2.3334,"Promoter (2-3kb)",1,87472539,87475458,2920,1,"73234","ENSMUST00000191095.1",2613,"ENSMUSG00000026258","Snorc","secondary ossification center associated regulator of chondrocyte maturation"
"chr1",87509868,87510224,357,"*","AcH4K12_TSA_vs_Veh_peak_90",20,".",2.63103,5.441,2.08561,"Promoter (<=1kb)",1,87509889,87596670,86782,1,"23956","ENSMUST00000166055.7",0,"ENSMUSG00000079434","Neu2","neuraminidase 2"
"chr1",88701097,88701998,902,"*","AcH4K12_TSA_vs_Veh_peak_91",25,".",3.06948,6.04783,2.53624,"Promoter (<=1kb)",1,88698225,88702221,3997,2,"320982","ENSMUST00000159814.1",223,"ENSMUSG00000049866","Arl4c","ADP-ribosylation factor-like 4C"
"chr1",89070466,89071184,719,"*","AcH4K12_TSA_vs_Veh_peak_92",43,".",3.6769,8.45358,4.36587,"Promoter (<=1kb)",1,89070453,89112860,42408,1,"98402","ENSMUST00000123745.1",13,"ENSMUSG00000036206","Sh3bp4","SH3-domain binding protein 4"
"chr1",89580493,89581410,918,"*","AcH4K12_TSA_vs_Veh_peak_93",43,".",3.91238,8.40115,4.32411,"Promoter (<=1kb)",1,89580236,89895277,315042,1,"347722","ENSMUST00000074945.7",257,"ENSMUSG00000055013","Agap1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
"chr1",89600035,89600381,347,"*","AcH4K12_TSA_vs_Veh_peak_94",36,".",4.23692,7.4942,3.63485,"Intron (ENSMUST00000027521.14/347722, intron 1 of 17)",1,89580236,89895277,315042,1,"347722","ENSMUST00000074945.7",19799,"ENSMUSG00000055013","Agap1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
"chr1",90734346,90734633,288,"*","AcH4K12_TSA_vs_Veh_peak_95",27,".",3.83594,6.30928,2.73581,"Distal Intergenic",1,90767389,90773215,5827,2,"12835","ENSMUST00000150769.1",38582,"ENSMUSG00000048126","Col6a3","collagen, type VI, alpha 3"
